Timestamp,Comment,PreposText,tokenizerText,stemmed,FinalNormalizer,label,score,Likes
2025-03-30T13:51:28Z,"Udah pake ini 5 bulan, baru 5000Km,, PR nya memang di visibilitas sih, tapi lumayan kebantu sama camera 360. Satu lagi pedal rem sih menurut saya, untuk rem seting ke comfort pake 2 atau 3 kali udah terbiasa koq, kalau pedal rem memang nggemesin ini, duduknya harus lebih mundur, untuk MID, enggak bingung kalau udah biasa pake.",udah pake ini 5 bulan baru 5000km pr nya memang di visibilitas sih tapi lumayan kebantu sama camera 360 satu lagi pedal rem sih menurut saya untuk rem seting ke comfort pake 2 atau 3 kali udah terbiasa koq kalau pedal rem memang nggemesin ini duduknya harus lebih mundur untuk mid enggak bingung kalau udah biasa pake,"['udah', 'pake', 'ini', 'bulan', 'baru', '5000km', 'pr', 'nya', 'memang', 'di', 'visibilitas', 'sih', 'tapi', 'lumayan', 'kebantu', 'sama', 'camera', '360', 'satu', 'lagi', 'pedal', 'rem', 'menurut', 'saya', 'untuk', 'seting', 'ke', 'comfort', 'atau', 'kali', 'terbiasa', 'koq', 'kalau', 'nggemesin', 'duduknya', 'harus', 'lebih', 'mundur', 'mid', 'enggak', 'bingung', 'biasa']","['udah', 'pake', 'ini', 'bulan', 'baru', '5000km', 'pr', 'nya', 'memang', 'di', 'visibilitas', 'sih', 'tapi', 'lumayan', 'bantu', 'sama', 'camera', '360', 'satu', 'lagi', 'pedal', 'rem', 'turut', 'saya', 'untuk', 'ting', 'ke', 'comfort', 'atau', 'kali', 'biasa', 'koq', 'kalau', 'gemas', 'duduk', 'harus', 'lebih', 'mundur', 'mid', 'tidak', 'bingung', 'biasa']","['pakai', '5000km', 'pr', 'visibilitas', 'lumayan', 'bantu', 'camera', '360', 'pedal', 'rem', 'ting', 'comfort', 'kali', 'gemas', 'duduk', 'lebih', 'mundur', 'mid', 'tidak', 'bingung']",positif,12,309
2025-03-30T15:39:08Z,harga brp gan ?,harga brp gan,"['harga', 'brp', 'gan']","['harga', 'brp', 'gan']","['harga', 'teman']",netral,0,4
2025-03-30T17:14:28Z,Kursi driver jongkok ga om . Kliatan g nyaman gitu,kursi driver jongkok ga om kliatan g nyaman gitu,"['kursi', 'driver', 'jongkok', 'ga', 'om', 'kliatan', 'nyaman', 'gitu']","['kursi', 'driver', 'jongkok', 'tidak', 'om', 'kliatan', 'nyaman', 'gitu']","['kursi', 'driver', 'jongkok', 'tidak', 'kliatan', 'nyaman']",positif,2,1
2025-03-30T17:26:08Z,ban cadangan dmn bang,ban cadangan dmn bang,"['ban', 'cadangan', 'dmn', 'bang']","['ban', 'cadang', 'dmn', 'bang']","['ban', 'cadang']",netral,0,1
2025-03-30T18:21:05Z,@myminifoodies kagak ada. bahkan semua EV demikin pula. tobyatt.,kagak ada bahkan semua ev demikin pula tobyatt,"['kagak', 'ada', 'bahkan', 'semua', 'ev', 'demikin', 'pula', 'tobyatt']","['kagak', 'ada', 'bahkan', 'semua', 'ev', 'demik', 'pula', 'tobyatt']","['tidak', 'ada', 'mobil listrik', 'demik', 'tobyatt']",negatif,-3,6
2025-03-30T21:57:27Z,@rajendraelsyafiq3037 otr jateng 434 gan,otr jateng 434 gan,"['otr', 'jateng', '434', 'gan']","['otr', 'jateng', '434', 'gan']","['otr', 'jateng', '434', 'teman']",netral,0,0
2025-03-30T22:00:16Z,"@imamsyafii9380 kalau posisi duduk di kursi driver sih enggak ada complain buat saya, tinggi saya 171cm, so far masih enak, emang jok sedikit keras tapi mssih bisa diterima.",kalau posisi duduk di kursi driver sih enggak ada complain buat saya tinggi saya 171cm so far masih enak emang jok sedikit keras tapi mssih bisa diterima,"['kalau', 'posisi', 'duduk', 'di', 'kursi', 'driver', 'sih', 'enggak', 'ada', 'complain', 'buat', 'saya', 'tinggi', '171cm', 'so', 'far', 'masih', 'enak', 'emang', 'jok', 'sedikit', 'keras', 'tapi', 'mssih', 'bisa', 'diterima']","['kalau', 'posisi', 'duduk', 'di', 'kursi', 'driver', 'sih', 'tidak', 'ada', 'complain', 'buat', 'saya', 'tinggi', '171cm', 'so', 'far', 'masih', 'enak', 'emang', 'jok', 'sedikit', 'keras', 'tapi', 'mssih', 'bisa', 'terima']","['posisi', 'duduk', 'kursi', 'driver', 'tidak', 'ada', 'complain', 'tinggi', '171cm', 'so', 'far', 'enak', 'jok', 'keras', 'mssih', 'bisa', 'terima']",netral,0,0
2025-03-30T22:02:02Z,"@myminifoodies enggak ada bang, wkwkwk, tapi gimana juga ya antara penting gak penting sih, saya udah 10 tahun pake mobil dan ganti ganti mobil mulai dari daihatsu taruna , yaris, jazz, apv  belum pernah sih ngeluarin ban serep , tapi emang kadang ada rasa yg berkurang dengan gak ada ban serep.",enggak ada bang wkwkwk tapi gimana juga ya antara penting gak penting sih saya udah 10 tahun pake mobil dan ganti ganti mobil mulai dari daihatsu taruna yaris jazz apv belum pernah sih ngeluarin ban serep tapi emang kadang ada rasa yg berkurang dengan gak ada ban serep,"['enggak', 'ada', 'bang', 'wkwkwk', 'tapi', 'gimana', 'juga', 'ya', 'antara', 'penting', 'gak', 'sih', 'saya', 'udah', '10', 'tahun', 'pake', 'mobil', 'dan', 'ganti', 'mulai', 'dari', 'daihatsu', 'taruna', 'yaris', 'jazz', 'apv', 'belum', 'pernah', 'ngeluarin', 'ban', 'serep', 'emang', 'kadang', 'rasa', 'yg', 'berkurang', 'dengan']","['tidak', 'ada', 'bang', 'wkwkwk', 'tapi', 'gimana', 'juga', 'iya', 'antara', 'penting', 'tidak', 'sih', 'saya', 'udah', '10', 'tahun', 'pake', 'mobil', 'dan', 'ganti', 'mulai', 'dari', 'daihatsu', 'taruna', 'yaris', 'jazz', 'apv', 'belum', 'pernah', 'luar', 'ban', 'serep', 'emang', 'kadang', 'rasa', 'yang', 'kurang', 'dengan']","['tidak', 'ada', 'tawa', 'iya', 'tidak', '10', 'pakai', 'mobil', 'ganti', 'daihatsu', 'taruna', 'yaris', 'jazz', 'apv', 'belum', 'ban', 'serep', 'kadang', 'kurang']",negatif,-11,23
2025-03-31T03:40:01Z,"@AllOfMe2017 gw kebalikannya bang, ni mobil gw aja udah 4x kena paku belom 1 taun. kwkwkwkwk",gw kebalikannya bang ni mobil gw aja udah 4x kena paku belom 1 taun kwkwkwkwk,"['gw', 'kebalikannya', 'bang', 'ni', 'mobil', 'aja', 'udah', '4x', 'kena', 'paku', 'belom', 'taun', 'kwkwkwkwk']","['gue', 'balik', 'bang', 'ini', 'mobil', 'aja', 'udah', '4x', 'kena', 'paku', 'belom', 'taun', 'kwkwkwkwk']","['mobil', '4x', 'kena', 'paku', 'belum', 'taun', 'kwkwkwkwk']",netral,0,2
2025-03-31T03:52:42Z,"@myminifoodies wah apes kali bang, hahaha",wah apes kali bang hahaha,"['wah', 'apes', 'kali', 'bang', 'hahaha']","['wah', 'apes', 'kali', 'bang', 'hahaha']","['apes', 'kali', 'tawa']",netral,0,1
2025-03-31T15:37:42Z,​@AllOfMe2017Ada pengalaman apa bang selama pakai Daihatsu taruna??,pengalaman apa bang selama pakai daihatsu taruna,"['pengalaman', 'apa', 'bang', 'selama', 'pakai', 'daihatsu', 'taruna']","['alam', 'apa', 'bang', 'lama', 'pakai', 'daihatsu', 'taruna']","['alam', 'pakai', 'daihatsu', 'taruna']",netral,0,2
2025-04-01T00:33:19Z,"@yudistiraeka8412 pake 2 tahun bang, dari 2016 sampe 2018 seri FGX tahun 2001, versi EFI awal awal banget, beruntung aja sih, aman aman sja dari pake gak ada kendala di engine, pas beli awal awal cuman perbaiki kaki kaki, engine mounting, udah abis itu gak pernah rewel sampe dijual di tahun 2018, enggak rugi pula , beli di 69jt jual di 67.5 , hehe",pake 2 tahun bang dari 2016 sampe 2018 seri fgx tahun 2001 versi efi awal awal banget beruntung aja sih aman aman sja dari pake gak ada kendala di engine pas beli awal awal cuman perbaiki kaki kaki engine mounting udah abis itu gak pernah rewel sampe dijual di tahun 2018 enggak rugi pula beli di 69jt jual di 67 5 hehe,"['pake', 'tahun', 'bang', 'dari', '2016', 'sampe', '2018', 'seri', 'fgx', '2001', 'versi', 'efi', 'awal', 'banget', 'beruntung', 'aja', 'sih', 'aman', 'sja', 'gak', 'ada', 'kendala', 'di', 'engine', 'pas', 'beli', 'cuman', 'perbaiki', 'kaki', 'mounting', 'udah', 'abis', 'itu', 'pernah', 'rewel', 'dijual', 'enggak', 'rugi', 'pula', '69jt', 'jual', '67', 'hehe']","['pake', 'tahun', 'bang', 'dari', '2016', 'sampe', '2018', 'seri', 'fgx', '2001', 'versi', 'efi', 'awal', 'banget', 'untung', 'aja', 'sih', 'aman', 'sja', 'tidak', 'ada', 'kendala', 'di', 'engine', 'pas', 'beli', 'cuman', 'baik', 'kaki', 'mounting', 'udah', 'abis', 'itu', 'pernah', 'rewel', 'jual', 'tidak', 'rugi', 'pula', '69jt', 'jual', '67', 'hehe']","['pakai', '2016', '2018', 'seri', 'fgx', '2001', 'versi', 'efi', 'sangat', 'untung', 'aman', 'sja', 'tidak', 'ada', 'kendala', 'engine', 'pas', 'beli', 'cuman', 'kaki', 'mounting', 'abis', 'rewel', 'jual', 'tidak', 'rugi', '69jt', 'jual', '67', 'tawa']",positif,9,5
2025-04-01T13:18:16Z,Mobil ini cocok untuk kendaraan dinas saya sebagai kepala desa,mobil ini cocok untuk kendaraan dinas saya sebagai kepala desa,"['mobil', 'ini', 'cocok', 'untuk', 'kendaraan', 'dinas', 'saya', 'sebagai', 'kepala', 'desa']","['mobil', 'ini', 'cocok', 'untuk', 'kendara', 'dinas', 'saya', 'sebagai', 'kepala', 'desa']","['mobil', 'cocok', 'kendara', 'dinas', 'kepala', 'desa']",positif,5,0
