Comment,label,score
"Udah pake ini 5 bulan, baru 5000Km,, PR nya memang di visibilitas sih, tapi lumayan kebantu sama camera 360. Satu lagi pedal rem sih menurut saya, untuk rem seting ke comfort pake 2 atau 3 kali udah terbiasa koq, kalau pedal rem memang nggemesin ini, duduknya harus lebih mundur, untuk MID, enggak bingung kalau udah biasa pake.",positif,12
"@myminifoodies enggak ada bang, wkwkwk, tapi gimana juga ya antara penting gak penting sih, saya udah 10 tahun pake mobil dan ganti ganti mobil mulai dari daihatsu taruna , yaris, jazz, apv  belum pernah sih ngeluarin ban serep , tapi emang kadang ada rasa yg berkurang dengan gak ada ban serep.",negatif,-11
"@yudistiraeka8412 pake 2 tahun bang, dari 2016 sampe 2018 seri FGX tahun 2001, versi EFI awal awal banget, beruntung aja sih, aman aman sja dari pake gak ada kendala di engine, pas beli awal awal cuman perbaiki kaki kaki, engine mounting, udah abis itu gak pernah rewel sampe dijual di tahun 2018, enggak rugi pula , beli di 69jt jual di 67.5 , hehe",positif,9
Mobil ini cocok untuk kendaraan dinas saya sebagai kepala desa,positif,5
"@SekarAyu-it6sq waduh maap belum pernah coba mobilio om, kalau visibilitas ke belakang sih oke oke aja koq om, kecuali kalau row paling belakang ada penumpangnya otomatis spion tengah jadi banyak ketutup sama penumpang belakang, untuk spion kiri kanan aman, yg agak kureng visibilitas ke depan, pilar A nya tu guedheee banget , hahaha",positif,14
"Visibilitas ini maksudnya blindspot nya gede ya? Waduh, capek dong... 😥😥",negatif,-5
"@fandimm180 iya saya gak bisa ngejelasin detailnya dengan kata kata gimana, cuman berasa sempit dan beberapa kali kaget tiba tiba papasan sama motor, ternyata tu motor keluar dari gang dan tertutup sama pilar A.",negatif,-13
@RF-q1z posisi pedal rem nya lebih tinggi daripada gasnya dan selsisihnya lumayan antara gas dan rem.,positif,10
"@AllOfMe2017 ban cadangan itu memang terkadang seperti nggak dibutuhkan, tapi di saat tertentu kita bakal butuh banget😁Memang ada tire repair kit yang lebih simple, tapi hanya berguna jika ban kempes karena tertusuk paku/baut. Kalau ban sobek/pecah, tetap ban cadangan solusi terbaik.",negatif,-8
"@pradaardana2727 bisa banget om, spklu udah banyak juga",positif,6
​@tukijogamin51dinas kmn. Desa tu sempit. Mau jalan2 pke dana desa?50,negatif,-5
"@jelitasibolga1488 aman, gasss pernah test sampe 930Km dalam sehari dan , pernah dapat 540Km sekali charge",positif,5
@imamsyafii9380 aman gw 183 cm,positif,5
"Sy biasa perdin ke Jakarta dari Surabaya pake mobil M6 punya kantor charging 3x , Rest Area Ngawi, Pemalang KM 319 , Rest Cikarankelebihannya sambil charging di Rest Area baris tengah belakang rata tidur dalam posisi AC nyala sampe pagi aman cuman berkurang 1% baterainya hehe.. Kalau charging di PLN Kota/Kabupaten bisa istirahat di Lounge nya bermalam jg gpp ada kopi teh mushollah toilet buat mandi hehe itung"" Hemat biaya hotel.. 
Jalur bawah lebih hemat, sangat cocok buat selap selip ngejar moment mendahului...",positif,14
"Mobil ev ini cocok buat yg jarang keluar rumah, btuh buat weekend saja, buat yg gk ngerti mesin,dan pajaknya murah, cocok dgn saya, semoga saya bisa beli, tolong aamiin kan teman2 ,aamiin.....",positif,12
Di tambang BIB Angsana Kalsel sudah banyak populasi M6 dijadikan mobil operasional.,positif,3
"Nyoba grab dr sisi penumpang asli enakkkk bener. Biaya hemat dr bensin bisa dialihkan ke aset cuy. Ngapain mikin mobil bensin, udah tau di tipu terus wkwk",positif,10
